Capacity (MW),,,"Count ""off"" Init (h)",,,"Count ""on"" Init (h)",,,No Load Cost ($),,,,,,Ramp Up Limit (MW/h),,,,,,Ramp Down Limit (MW/h),,,,,,Min. Down Time (h),,,,,,Min. Up Time (h),,,,,,Min. Output (MW),,,,,,Output at t=0 (MW),,,Cost ($/MW):,,,,,,,,Output Block (MW):,,,,,Start-up Cost ($):,,,,,,,,Start-up Blocks (h):,,,,,,,,,,,,,,,,,Start-up Cost($),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i20,.,b1,23.8096,11.352,23.8096,23.8096,,,,,,,i8,.,j2,50.85714286,374.6285714,50.85714286,50.85714286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i20,.,b2,24.5249,11.663,24.5249,24.5249,,,,,,,i8,.,j3,57.71428571,421.4571429,57.71428571,57.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i20,.,b3,25.2402,11.974,25.2402,25.2402,,,,,,,i8,.,j4,64.57142857,468.2857143,64.57142857,64.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i21,.,b1,23.8196,11.387,23.8196,23.8196,,,,,,,i8,.,j5,71.42857143,515.1142857,71.42857143,71.42857143,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i21,.,b2,24.5349,11.705,24.5349,24.5349,,,,,,,i8,.,j6,78.28571429,561.9428571,78.28571429,78.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i21,.,b3,25.2502,12.022,25.2502,25.2502,,,,,,,i8,.,j7,85.14285714,608.7714286,85.14285714,85.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i22,.,b1,6.960789,8.0841,6.960789,6.960789,,,,,,,i8,.,j8,92,655.6,92,92,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i22,.,b2,7.229889,8.4621,7.229889,7.229889,,,,,,,i9,.,j1,60,283,60,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i22,.,b3,7.498989,8.8501,7.498989,7.498989,,,,,,,i9,.,j2,68.57142857,323.4285714,68.57142857,68.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i23,.,b1,6.970789,8.0881,6.970789,6.970789,,,,,,,i9,.,j3,77.14285714,363.8571429,77.14285714,77.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i23,.,b2,7.239889,8.4781,7.239889,7.239889,,,,,,,i9,.,j4,85.71428571,404.2857143,85.71428571,85.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i23,.,b3,7.508989,8.8681,7.508989,7.508989,,,,,,,i9,.,j5,94.28571429,444.7142857,94.28571429,94.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i24,.,b1,28.313,22.4,28.313,28.313,,,,,,,i9,.,j6,102.8571429,485.1428571,102.8571429,102.8571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i24,.,b2,29.256,22.5,29.256,29.256,,,,,,,i9,.,j7,111.4285714,525.5714286,111.4285714,111.4285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i24,.,b3,30.498,22.6,30.498,30.498,,,,,,,i9,.,j8,120,566,120,120,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i25,.,b1,28.323,23.1,28.323,28.323,,,,,,,i10,.,j1,60,283,60,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i25,.,b2,29.266,23.2,29.266,29.266,,,,,,,i10,.,j2,68.57142857,323.4285714,68.57142857,68.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i25,.,b3,30.508,23.4,30.508,30.508,,,,,,,i10,.,j3,77.14285714,363.8571429,77.14285714,77.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i26,.,b1,28.303,22.6,28.303,28.303,,,,,,,i10,.,j4,85.71428571,404.2857143,85.71428571,85.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i26,.,b2,29.246,22.7,29.246,29.246,,,,,,,i10,.,j5,94.28571429,444.7142857,94.28571429,94.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i26,.,b3,30.488,22.8,30.488,30.488,,,,,,,i10,.,j6,102.8571429,485.1428571,102.8571429,102.8571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i27,.,b1,28.333,25.1,28.333,28.333,,,,,,,i10,.,j7,111.4285714,525.5714286,111.4285714,111.4285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i27,.,b2,29.276,25.3,29.276,29.276,,,,,,,i10,.,j8,120,566,120,120,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i27,.,b3,30.518,25.6,30.518,30.518,,,,,,,i11,.,j1,60,283,60,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i28,.,b1,28.293,26.1,28.293,28.293,,,,,,,i11,.,j2,68.57142857,323.4285714,68.57142857,68.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i28,.,b2,29.236,26.2,29.236,29.236,,,,,,,i11,.,j3,77.14285714,363.8571429,77.14285714,77.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i28,.,b3,30.478,26.4,30.478,30.478,,,,,,,i11,.,j4,85.71428571,404.2857143,85.71428571,85.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i29,.,b1,28.3135,27,28.3135,28.3135,,,,,,,i11,.,j5,94.28571429,444.7142857,94.28571429,94.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i29,.,b2,29.2565,27.3,29.2565,29.2565,,,,,,,i11,.,j6,102.8571429,485.1428571,102.8571429,102.8571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i29,.,b3,30.4985,27.6,30.4985,30.4985,,,,,,,i11,.,j7,111.4285714,525.5714286,111.4285714,111.4285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i30,.,b1,23.7996,11.42,23.7996,23.7996,,,,,,,i11,.,j8,120,566,120,120,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i30,.,b2,24.5149,11.743,24.5149,24.5149,,,,,,,i12,.,j1,110,387.5,110,110,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i30,.,b3,25.2302,12.067,25.2302,25.2302,,,,,,,i12,.,j2,127.1428571,442.8571429,127.1428571,127.1428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i31,.,b1,23.8296,11.45,23.8296,23.8296,,,,,,,i12,.,j3,144.2857143,498.2142857,144.2857143,144.2857143,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i31,.,b2,24.5449,11.777,24.5449,24.5449,,,,,,,i12,.,j4,161.4285714,553.5714286,161.4285714,161.4285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i31,.,b3,25.2602,12.104,25.2602,25.2602,,,,,,,i12,.,j5,178.5714286,608.9285714,178.5714286,178.5714286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i32,.,b1,26.2131,11.397,26.2131,26.2131,,,,,,,i12,.,j6,195.7142857,664.2857143,195.7142857,195.7142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i32,.,b2,26.7076,11.612,26.7076,26.7076,,,,,,,i12,.,j7,212.8571429,719.6428571,212.8571429,212.8571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i32,.,b3,27.1998,11.826,27.1998,27.1998,,,,,,,i12,.,j8,230,775,230,230,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i13,.,j1,110,387.5,110,110,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i13,.,j2,127.1428571,442.8571429,127.1428571,127.1428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i13,.,j3,144.2857143,498.2142857,144.2857143,144.2857143,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i13,.,j4,161.4285714,553.5714286,161.4285714,161.4285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i13,.,j5,178.5714286,608.9285714,178.5714286,178.5714286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i13,.,j6,195.7142857,664.2857143,195.7142857,195.7142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i13,.,j7,212.8571429,719.6428571,212.8571429,212.8571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i13,.,j8,230,775,230,230,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i14,.,j1,110,387.5,110,110,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i14,.,j2,127.1428571,442.8571429,127.1428571,127.1428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i14,.,j3,144.2857143,498.2142857,144.2857143,144.2857143,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i14,.,j4,161.4285714,553.5714286,161.4285714,161.4285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i14,.,j5,178.5714286,608.9285714,178.5714286,178.5714286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i14,.,j6,195.7142857,664.2857143,195.7142857,195.7142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i14,.,j7,212.8571429,719.6428571,212.8571429,212.8571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i14,.,j8,230,775,230,230,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i15,.,j1,20,34,20,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i15,.,j2,22.85714286,38.85714286,22.85714286,22.85714286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i15,.,j3,25.71428571,43.71428571,25.71428571,25.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i15,.,j4,28.57142857,48.57142857,28.57142857,28.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i15,.,j5,31.42857143,53.42857143,31.42857143,31.42857143,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i15,.,j6,34.28571429,58.28571429,34.28571429,34.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i15,.,j7,37.14285714,63.14285714,37.14285714,37.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i15,.,j8,40,68,40,40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i16,.,j1,20,34,20,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i16,.,j2,22.85714286,38.85714286,22.85714286,22.85714286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i16,.,j3,25.71428571,43.71428571,25.71428571,25.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i16,.,j4,28.57142857,48.57142857,28.57142857,28.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i16,.,j5,31.42857143,53.42857143,31.42857143,31.42857143,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i16,.,j6,34.28571429,58.28571429,34.28571429,34.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i16,.,j7,37.14285714,63.14285714,37.14285714,37.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i16,.,j8,40,68,40,40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i17,.,j1,20,34,20,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i17,.,j2,22.85714286,38.85714286,22.85714286,22.85714286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i17,.,j3,25.71428571,43.71428571,25.71428571,25.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i17,.,j4,28.57142857,48.57142857,28.57142857,28.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i17,.,j5,31.42857143,53.42857143,31.42857143,31.42857143,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i17,.,j6,34.28571429,58.28571429,34.28571429,34.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i17,.,j7,37.14285714,63.14285714,37.14285714,37.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i17,.,j8,40,68,40,40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i18,.,j1,20,34,20,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i18,.,j2,22.85714286,38.85714286,22.85714286,22.85714286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i18,.,j3,25.71428571,43.71428571,25.71428571,25.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i18,.,j4,28.57142857,48.57142857,28.57142857,28.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i18,.,j5,31.42857143,53.42857143,31.42857143,31.42857143,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i18,.,j6,34.28571429,58.28571429,34.28571429,34.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i18,.,j7,37.14285714,63.14285714,37.14285714,37.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i18,.,j8,40,68,40,40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i19,.,j1,20,34,20,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i19,.,j2,22.85714286,38.85714286,22.85714286,22.85714286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i19,.,j3,25.71428571,43.71428571,25.71428571,25.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i19,.,j4,28.57142857,48.57142857,28.57142857,28.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i19,.,j5,31.42857143,53.42857143,31.42857143,31.42857143,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i19,.,j6,34.28571429,58.28571429,34.28571429,34.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i19,.,j7,37.14285714,63.14285714,37.14285714,37.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i19,.,j8,40,68,40,40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i20,.,j1,562,524.15,562,562,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i20,.,j2,775.7142857,599.0285714,775.7142857,775.7142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i20,.,j3,989.4285714,673.9071429,989.4285714,989.4285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i20,.,j4,1203.142857,748.7857143,1203.142857,1203.142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i20,.,j5,1416.857143,823.6642857,1416.857143,1416.857143,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i20,.,j6,1630.571429,898.5428571,1630.571429,1630.571429,,,,,,,,,,,,,,,,,,,,
